id;name;description;palms_quantity;is_affected;createdat;updatedat
1;connecting;Caserio Central;57135;Producto Credit Juguetería;2024-02-05T18:20:05;2024-02-05T17:48:07
2;Parafarmacia Acero Public-key;Violeta;13938;dinámica abierto;2024-02-05T13:35:13;2024-02-05T21:56:14
3;architectures;Tanzania vortals Dinánmico;54167;regional;2024-02-05T22:03:53;2024-02-05T19:32:42
4;SQL;Parcela;58308;Salud known IB;2024-02-05T06:39:13;2024-02-05T17:05:12
5;Sabroso mano;Fantástico e-services deposit;41901;Sabroso functionalities Distrito;2024-02-06T02:30:42;2024-02-05T10:18:49
6;secundaria Corporativo;Auto cross-platform Morado;23314;Salida Inteligente;2024-02-05T08:16:16;2024-02-06T00:01:50
7;array rich Hormigon;Lek;97269;Dinamarca panel;2024-02-05T18:12:25;2024-02-05T15:14:18
8;Creativo Hogar Aragón;Plástico;19738;Verde Central;2024-02-06T01:18:37;2024-02-05T15:57:51
9;Inteligente Dalasi;Money PNG;89139;programming estandardización innovadora;2024-02-05T11:24:14;2024-02-05T07:04:04
10;política Estratega;dynamic Negro Borders;62229;mission-critical HTTP Silla;2024-02-06T03:00:41;2024-02-05T06:54:42
